,Date,Rocket,Launch Site,Launch Latitude,Launch Longitude,Flight Number,Flight,Orbit,Payload (Kg),Land Site,Failed Launch,Successful Launch,gridfins_False,gridfins_True,legs_False,legs_True,reused_False,reused_True,landing_attempt_False,landing_attempt_True,Failed Landing,Successful Landing,Landing ASDS,Landing Ocean,Landing RTLS,Year
0,2006-03-24,Falcon 1,Kwajalein Atoll,9.0477206,167.7431292,1,1,LEO,20.0,,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2006
1,2007-03-21,Falcon 1,Kwajalein Atoll,9.0477206,167.7431292,2,1,LEO,128.33,,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2007
2,2008-09-28,Falcon 1,Kwajalein Atoll,9.0477206,167.7431292,4,1,LEO,165.0,,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,2008
3,2009-07-13,Falcon 1,Kwajalein Atoll,9.0477206,167.7431292,5,1,LEO,200.0,,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,2009
4,2010-06-04,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,6,1,LEO,7341.2,,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,2010
5,2012-05-22,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,8,1,LEO,525.0,,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,2012
6,2013-03-01,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,10,1,ISS,677.0,,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,2013
7,2013-09-29,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,11,1,PO,500.0,,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,2013
8,2013-12-03,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,12,1,GTO,3170.0,,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,2013
9,2014-01-06,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,13,1,GTO,3325.0,,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,2014
10,2014-04-18,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,14,1,ISS,2296.0,,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,2014
11,2014-07-14,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,15,1,LEO,1316.0,,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,2014
